"personnage","action","objet"
"Joker","mise","cartes"
"Cigne","nage","plume"
"Fabien Olicard","analyse","rubiks cube"
"Maman","petri","pain"
"Cendrillon","lache","pantoufle"
"Captaine america","salut militaire","bouclier captain"
"Lutin vert (chaudron la)","sautille","trefle"
"Thanos","claque des doigt","gant en or"
"Alix","caline","coeur"
"Dieu","prie","callis"
"Eleven (stranger things)","saigne nez","batte a pique"
"Papa","chante","micro"
"massacre a la tronssoneuse","court en criant","tronssoneuse"
"Napoleon","main au coeur","fusil"
"Sefora","fais de la guitare","guitare"
"Obama","salut","2 tours"
"Shakira","waka waka","jupe a grolo"
"Rick (et morty)","bave","pistolet portail"
"Covid","crache","mini virus"
"Magicien","lance","dés 20 faces"
"","",""
"Mickey Mouse","bras ouverts","gros gants"
"","",""
"","",""
"Pere Noel","ho ho ho","cadeau"
"","",""
"","",""
"","",""
"Josselin","fais du piano","piano"
"","",""
"","",""
"","",""
"","","raisins"
"","",""
"Groot","je sappelle grout","branche"
"Omar cy","souris","oscar"
"Robinson","","barbe survivant"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"Coccinelle (voiture)","pète","mini voiture"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"Patissiere","touille","frangipane"
"Diable","frotte les mains ","fourche"
"","",""
"","",""
"","",""
"","",""
"","",""
"Cochon","mange","rillettes"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"Coluche","doigt leve nez rouge","bouteille vin"
"","",""
"","",""
"Président ","discours","mini tour effeil"
"Racaille ","rap","banane"
"","",""
"Cars","catchaw","eclair"
"","",""
"","",""
"","",""
"","",""